,ytid,start_time,class,set
59024,FbvlBNhnn_A,131,playing volleyball,train
59438,Fk1QHdKuyU0,145,playing volleyball,train
59446,FkIKx3il7Y0,194,playing volleyball,train
59488,FlEPYihl6lM,90,playing volleyball,train
59511,FlhJlGD8amk,67,playing volleyball,train
59616,FndSoZUOdXs,62,playing volleyball,train
59715,Fq2R17hR6yQ,133,playing volleyball,train
59801,Fs-jrl9RWCg,115,playing volleyball,train
60100,Fxvjkq6fxw0,144,playing volleyball,train
60327,G1_5glwKjeA,166,playing volleyball,train
60555,G665JSzM9ic,70,playing volleyball,train
60556,G66KjU3GYlQ,57,playing volleyball,train
60569,G6Nip_9mZJw,98,playing volleyball,train
60897,GDiQsPf7EmY,34,playing volleyball,train
61261,GLRya3p18RA,2,playing volleyball,train
62403,GhA_E7rXwZg,5,playing volleyball,train
62564,GkDN30ttEkc,239,playing volleyball,test
62655,GluVyF8K_-0,0,playing volleyball,train
62712,GmlcnsdLHzw,289,playing volleyball,train
62821,Gp20jVEmopY,126,playing volleyball,train
62822,Gp20jVEmopY,649,playing volleyball,train
62882,GqMUrXqDJ3Q,1,playing volleyball,train
63251,GxbTnkkySvo,4,playing volleyball,train
63521,H2W04iheYRQ,109,playing volleyball,train
63561,H3DlNxGPqw0,48,playing volleyball,train
63604,H49z-gNd_08,0,playing volleyball,test
63730,H6rd8uwZ7MM,511,playing volleyball,train
63987,HBXcFiBmDbQ,347,playing volleyball,train
64431,HKt34k7B7BA,40,playing volleyball,test
64499,HMMFB8RNP7E,162,playing volleyball,train
65104,HYOgM9dLUNQ,108,playing volleyball,train
65367,Hch5_Go_-y0,145,playing volleyball,train
65494,HexYOBRDRmU,38,playing volleyball,train
65511,Hf8zYMgVJWQ,116,playing volleyball,train
65512,Hf9Id3EkyfI,22,playing volleyball,train
65531,Hfim8HbXRr0,3,playing volleyball,train
65621,HhFtx9TTlm0,35,playing volleyball,train
65647,HhcCVomKeZo,32,playing volleyball,train
66064,HqCu8_P0QLw,73,playing volleyball,train
66975,I6tAn2a2Vv4,81,playing volleyball,train
67140,I9zSb78QJ4g,168,playing volleyball,train
67269,ICeDT4g9WUI,5,playing volleyball,train
67468,IGCmCRZnsRs,317,playing volleyball,train
67512,IHPNPQgbLCo,22,playing volleyball,train
67582,IIv1mYMKQB0,82,playing volleyball,test
67683,IKaxw1EDGUQ,736,playing volleyball,train
67872,INJerOx1xxg,145,playing volleyball,train
67923,IO0Ec_2XCVU,427,playing volleyball,train
68020,IPkPgebXaak,20,playing volleyball,train
68236,IU7G1gnORJU,125,playing volleyball,train
68300,IVHhX5g3pAU,142,playing volleyball,train
69725,IxSzQsfelxE,1,playing volleyball,train
69726,IxSzQsfelxE,13,playing volleyball,train
69731,IxaYtKJt92U,246,playing volleyball,train
70089,J3Jx0Q_Zvxk,476,playing volleyball,train
70156,J4alx6gCZYI,500,playing volleyball,train
70240,J6XNVwuXdWY,97,playing volleyball,train
70282,J7OdxqrJrHk,12,playing volleyball,train
70522,JCpLIwBWZMc,5,playing volleyball,train
70830,JIvFQf0dQRU,144,playing volleyball,train
70879,JK2QI8o59zA,8,playing volleyball,train
71323,JRvv85Tejkw,31,playing volleyball,train
71351,JSfjbXnGuS8,64,playing volleyball,train
71420,JUMP2bRAOIw,170,playing volleyball,train
71425,JUUWyF7LDH8,80,playing volleyball,train
71479,JVa4_8AULKU,339,playing volleyball,train
71621,JY6i6xiW7oE,9,playing volleyball,train
71622,JY6i6xiW7oE,105,playing volleyball,train
71698,JZlD5TTVFNU,17,playing volleyball,train
71745,J_rXaSh7C5M,38,playing volleyball,train
72102,JgnmnnKzDK4,25,playing volleyball,train
72326,JlVBl958zKw,0,playing volleyball,train
72690,JsXnNvxxuRo,561,playing volleyball,train
72739,Jt_3ZtlkCbI,3,playing volleyball,train
72812,JuxQk9b-Wxo,102,playing volleyball,train
72841,Jv_r3PLD6AA,15,playing volleyball,train
73319,K3mYpVVCZhg,417,playing volleyball,train
73634,KB6HhcaM448,586,playing volleyball,train
73901,KGkOJ_qwIzc,172,playing volleyball,train
74062,KJuOI3vafC4,25,playing volleyball,train
74088,KKUBwYXVrsI,83,playing volleyball,train
74502,KT6aSYApy5E,206,playing volleyball,train
74687,KWe8Mu07Xes,95,playing volleyball,train
74760,KXuhe9FP0Qk,113,playing volleyball,train
74800,KYTPRXJdsEA,308,playing volleyball,train
74919,K_kYu4dPwWM,23,playing volleyball,train
75072,KcO-TMFCmRI,100,playing volleyball,train
75168,Ke78LgKo0bA,61,playing volleyball,test
75585,KmwLPjeO_cE,0,playing volleyball,train
75636,Ko6o8HuXgBM,371,playing volleyball,train
75637,Ko6o8HuXgBM,409,playing volleyball,train
75778,Kr31CnVx2Zc,144,playing volleyball,train
76573,L702Kgia2Wo,14,playing volleyball,train
76592,L7RdL6ldyIo,260,playing volleyball,train
76697,L9TqoRrAeso,204,playing volleyball,train
76744,LA_kYVL5qO8,27,playing volleyball,train
76745,LA_kYVL5qO8,119,playing volleyball,train
76800,LBr7Ge-uTVg,18,playing volleyball,train
76801,LBrrHkslQGo,33,playing volleyball,train
76936,LDzb6mVK4nk,127,playing volleyball,test
77328,LLwRuoCfNP8,61,playing volleyball,train
77494,LPUBIiA6iHg,22,playing volleyball,test
77595,LRlYimasLkc,50,playing volleyball,train
77667,LT19zaddcig,157,playing volleyball,train
77818,LW-HbFmDHL8,15,playing volleyball,train
77844,LWgYWYsDDlM,23,playing volleyball,train
77886,LXZ-cdUkcSE,8,playing volleyball,train
77999,LZUjv6CFsDs,516,playing volleyball,train
78385,Lgn_t_Jj21s,27,playing volleyball,train
78403,Lh73EV_L-c4,51,playing volleyball,train
78540,LjzOeolKo94,84,playing volleyball,test
78564,LkR652jQPBA,16,playing volleyball,train
78820,LpZvcKAdKj4,287,playing volleyball,train
78821,LpZvcKAdKj4,341,playing volleyball,train
79103,LvQV_stlxaI,54,playing volleyball,test
79159,LwBvSM3U6lM,184,playing volleyball,train
79474,M2-FMpvCaNE,129,playing volleyball,train
80032,MDZmWlceqPc,97,playing volleyball,train
80037,MDrIekFJDbE,47,playing volleyball,train
80121,MFVgINLL3Lk,286,playing volleyball,train
80173,MGke2jauexU,142,playing volleyball,test
80362,MKS_SPDcaRU,163,playing volleyball,train
80572,MOw6dvN9ICY,63,playing volleyball,train
80687,MRWHn2TG6h8,71,playing volleyball,train
80916,MW5na4Yu97g,95,playing volleyball,train
81230,Mb_rnJzbsh0,51,playing volleyball,train
82439,N1CjgUI0qtc,93,playing volleyball,train
82692,N67NEDzrbI8,69,playing volleyball,train
82830,N8wq0nBDRyA,41,playing volleyball,train
82838,N933n1BaHhI,224,playing volleyball,train
83390,NKDtpFLWKSE,11,playing volleyball,train
83464,NLtVnTicEY0,28,playing volleyball,train
83495,NMmKhX576Mo,286,playing volleyball,train
83591,NOceHHOdchE,44,playing volleyball,train
83666,NQA7eQObGTU,8,playing volleyball,train
83880,NViZZR1HvBc,401,playing volleyball,train
83897,NW8cUBshFtM,74,playing volleyball,train
84046,NZ0z2AjOc5A,41,playing volleyball,train
84142,N_uAfOptIBA,163,playing volleyball,train
84256,Nd2HKDBMkYo,414,playing volleyball,test
84280,NdQnCLhcnB0,108,playing volleyball,train
84319,NeV39lYSSfU,159,playing volleyball,train
84418,NgpjhKEu3Q4,95,playing volleyball,train
84553,NjWP3EsYJ0Y,79,playing volleyball,train
84888,NqxCX4G3N2g,38,playing volleyball,train
84889,NqxCX4G3N2g,107,playing volleyball,train
85472,O29tzEvm64E,173,playing volleyball,train
85475,O2HPm5I_LpQ,33,playing volleyball,train
85520,O3QbPXVIZWc,90,playing volleyball,train
85641,O5cdXgEhEzI,125,playing volleyball,train
85956,OBgfIU_RxEg,82,playing volleyball,train
85957,OBgfIU_RxEg,95,playing volleyball,train
86144,OFV7NJu0Mxo,422,playing volleyball,train
86936,OW7cXoCLSFk,2,playing volleyball,train
86937,OW7cXoCLSFk,90,playing volleyball,train
87118,O_YrJ7eSk1k,48,playing volleyball,train
87409,Og6z57k1Y-c,194,playing volleyball,train
87502,Ohj12jX21CQ,92,playing volleyball,train
87503,Ohj12jX21CQ,188,playing volleyball,train
87632,OkW-8Ea4DmQ,77,playing volleyball,train
87633,OkW-8Ea4DmQ,133,playing volleyball,train
87654,Ol1U7URrc5c,67,playing volleyball,train
88420,P0NbfzAYpXg,2,playing volleyball,train
88728,P71WHgZ3y20,393,playing volleyball,train
90404,PfZgWnbLXLE,108,playing volleyball,train
90506,PhY7WvJcAoY,14,playing volleyball,train
90625,Pjc7jN6Lt3M,54,playing volleyball,train
90940,Ppqv5jc1wUw,314,playing volleyball,test
91022,PrVROB_aBks,274,playing volleyball,train
91023,PrVROB_aBks,510,playing volleyball,train
91123,PtQRQmlK15Y,16,playing volleyball,train
91138,Pt_eM1VuZNY,17,playing volleyball,train
91245,PvFLs7-4sV8,135,playing volleyball,train
91706,Q4Er5d3L6S0,5,playing volleyball,test
91996,QAiZ0PPk0lA,37,playing volleyball,train
92014,QB1a_OvAA5c,220,playing volleyball,train
92117,QDH6dQMIpfQ,173,playing volleyball,train
92118,QDH6dQMIpfQ,209,playing volleyball,train
92218,QFrWZyGIVfw,104,playing volleyball,train
92386,QJZaw3_kccU,0,playing volleyball,train
92945,QVgiTvZZpkQ,15,playing volleyball,train
92946,QVgiTvZZpkQ,141,playing volleyball,train
93008,QWyLeqzz4s8,56,playing volleyball,train
93339,Qd-dZNbwJgs,0,playing volleyball,train
93678,QlRhFnh4gVg,20,playing volleyball,train
93875,Qp36avkvW3g,12,playing volleyball,train
93894,QpNmxMqXqBQ,66,playing volleyball,test
94117,QtqkNEifIbU,72,playing volleyball,train
94118,QtqkNEifIbU,133,playing volleyball,train
94356,QywCiRs86Us,81,playing volleyball,train
95240,RGRphncp3jc,22,playing volleyball,train
95241,RGRphncp3jc,261,playing volleyball,train
95342,RIG9kbNMsgA,65,playing volleyball,train
95675,ROgb-PGx_l0,1,playing volleyball,train
95676,ROgb-PGx_l0,32,playing volleyball,train
95770,RQRipbhO86I,40,playing volleyball,test
95805,RRBCpehbzBE,18,playing volleyball,train
96084,RX6zbsyyaKU,46,playing volleyball,train
96211,RZiq70gDM38,122,playing volleyball,train
97037,RpefuAp67-g,21,playing volleyball,train
97038,RpefuAp67-g,45,playing volleyball,train
97195,RtO6dUwyyNg,239,playing volleyball,train
97345,RwuHAyBYA3I,62,playing volleyball,train
97471,RzkihY9tGRc,203,playing volleyball,train
97743,S4izOPAhCjw,54,playing volleyball,train
97755,S5-JYwnAqbU,7,playing volleyball,test
97891,S8DpyzM2yjA,46,playing volleyball,train
97911,S8eWU5eAfb0,21,playing volleyball,train
97946,S9Ggdl8eSio,94,playing volleyball,train
98315,SHrzYaxWGoM,3,playing volleyball,train
98474,SL6NGiHGsE0,78,playing volleyball,train
99018,SXs6Y1QEb7E,276,playing volleyball,train
99029,SY-tc6Llc9s,269,playing volleyball,train
99107,SZmfuHsVt7s,37,playing volleyball,train
99193,Sa7kkGUGzF8,126,playing volleyball,train
99651,SjpIXXfSEBE,11,playing volleyball,test
99748,Sm3Hd1Wlc2k,67,playing volleyball,train
99749,Sm3Hd1Wlc2k,103,playing volleyball,train
100497,T0vk2A3MhEM,5,playing volleyball,train
100603,T36Jrd_ot-M,79,playing volleyball,train
100783,T75yiXaXowE,14,playing volleyball,train
100859,T8PAJKrqE1Q,1,playing volleyball,train
100860,T8PAJKrqE1Q,23,playing volleyball,train
101266,THuwklifmBo,212,playing volleyball,train
101647,TQ5BjqdqvuY,268,playing volleyball,train
101986,TY7JBXdmC0g,105,playing volleyball,train
102154,Taf9VLHUTYU,90,playing volleyball,train
102439,TggN47Kg2hk,27,playing volleyball,train
102464,ThTRfZn-kxg,27,playing volleyball,train
102603,Tkch_y2YQDI,17,playing volleyball,train
103139,TwGDIp6NgeM,412,playing volleyball,train
103189,TxZqH4ONTig,216,playing volleyball,train
103539,U472jwWsixc,93,playing volleyball,train
103752,U9GyfYzRopc,126,playing volleyball,train
103759,U9ZL4gbPL7w,760,playing volleyball,train
103998,UEm06BxGZa8,18,playing volleyball,train
104019,UFEIYDfL-gk,53,playing volleyball,train
104111,UHF21eZTzrQ,42,playing volleyball,train
104287,UKdpeJmIVHU,87,playing volleyball,train
104391,UN9SluTLxzY,192,playing volleyball,train
104724,UTawxwACBTU,52,playing volleyball,train
104730,UTe_1wxo4EY,292,playing volleyball,train
104731,UTe_1wxo4EY,481,playing volleyball,train
104886,UWlS1H1JPIw,231,playing volleyball,train
105040,UZkuMeg8WiU,62,playing volleyball,train
105041,UZkuMeg8WiU,140,playing volleyball,train
105067,U_BkbCtRsFg,0,playing volleyball,train
105348,Uf9NPDKWby4,40,playing volleyball,train
105417,Ugg5gBxB4IY,232,playing volleyball,test
105418,Ugg5gBxB4IY,269,playing volleyball,test
105517,UjIaLQgXVgE,431,playing volleyball,test
105546,Ujmxhs1SjyQ,330,playing volleyball,test
105595,UkZ_IZzaR54,17,playing volleyball,test
105721,Un4DGOjHkCE,10,playing volleyball,test
106401,V0qdgPxgU2M,23,playing volleyball,test
106505,V2o4cNBinXQ,116,playing volleyball,test
106881,VBnfiLSUVdc,140,playing volleyball,test
107132,VHul9gyyQGE,52,playing volleyball,test
107632,VTkGdvY-GFs,204,playing volleyball,test
107911,V_uQ5ZnIKMM,105,playing volleyball,test
107912,V_uQ5ZnIKMM,115,playing volleyball,test
107950,VakyPB0XWIE,109,playing volleyball,test
108631,VqI5IF3HmBo,98,playing volleyball,test
108899,Vw69wKt4Ie8,8,playing volleyball,test
108913,VwRqNj1E508,22,playing volleyball,test
109027,VyQdoSAbH60,68,playing volleyball,test
109348,W4MC1L3szl4,114,playing volleyball,test
109500,W7RL7sR-Qow,124,playing volleyball,test
109501,W7RL7sR-Qow,189,playing volleyball,test
109563,W918-Lr-Vuc,97,playing volleyball,test
109875,WFYrJhUyxEo,155,playing volleyball,test
109934,WGjk5acb344,80,playing volleyball,test
110169,WLz4qTiH7pA,157,playing volleyball,test
110271,WOi0Ox1EePw,21,playing volleyball,test
110279,WP1SUQNysWg,66,playing volleyball,test
110280,WP1SUQNysWg,233,playing volleyball,test
110389,WRHwUYssUc4,216,playing volleyball,test
110631,WWHb-7OlYoQ,141,playing volleyball,test
110645,WWf8HiHmDWA,64,playing volleyball,test
110820,W_JQV6VcCv0,1,playing volleyball,test
110839,W_Wwj9ZBH4g,2,playing volleyball,test
111124,WeyXFTXfBkw,17,playing volleyball,test
111125,WeyXFTXfBkw,98,playing volleyball,test
111370,WjT-GCFB4qI,88,playing volleyball,test
111371,WjT-GCFB4qI,104,playing volleyball,test
111494,Wllr6FsKsO8,72,playing volleyball,test
111526,WmPTdYqhZjA,148,playing volleyball,test
111656,Wp5bsSSzgg8,367,playing volleyball,test
111675,WphJXRrJnPI,184,playing volleyball,test
111762,WrS7GuAicy8,147,playing volleyball,test
111953,Wvr0f3W-DRk,40,playing volleyball,test
